metric,correlation,rmse,mae,n_qbs,base_metric,version
epa_per_play,0.33141413183999274,0.178103506565094,0.13583427667617798,72,EPA,Raw
opp_adj_epa,0.3603409625713092,0.17462108681196647,0.13632059685883638,72,EPA,Opponent-Adj
epa_per_play_ctx_adj,0.2987499661128683,0.1660274302841228,0.12717313523316168,72,EPA,Context-Adj
epa_per_play_kalman,0.8756555043520149,0.08890023853785065,0.05643023312177631,72,EPA,Kalman
opp_adj_epa_kalman,0.8859685613387747,0.08711045333887808,0.057079408364665914,72,EPA,Opp+Kalman
cpoe_mean,0.31804809226512276,3.342798948287964,2.6488921642303467,72,CPOE,Raw
opp_adj_cpoe,0.3294744417342281,3.408402415791742,2.5983473602011005,72,CPOE,Opponent-Adj
cpoe_mean_ctx_adj,0.32395922820339373,3.2862210805202805,2.5695716363072765,72,CPOE,Context-Adj
cpoe_mean_kalman,0.5735887963896443,1.3920485657145973,1.118672572673723,69,CPOE,Kalman
opp_adj_cpoe_kalman,0.5653546973437783,1.3659870278506052,1.1158058316313184,69,CPOE,Opp+Kalman
success_mean,0.4324783453167894,0.48118260502815247,0.4597093164920807,72,SUCCESS,Raw
opp_adj_success_rate,0.4402251864456476,0.1431307423396314,0.11399020466911337,72,SUCCESS,Opponent-Adj
success_mean_ctx_adj,0.3915088534984975,0.14518420646849564,0.11700386314935754,72,SUCCESS,Context-Adj
success_mean_kalman,0.8617210846233733,0.45608479297463067,0.44017864710334903,72,SUCCESS,Kalman
