passer_player_id,player_name,situation_type,situation,attempts,qb_epa,qb_epa_vs_avg,cpoe,cpoe_vs_avg,success,success_vs_avg
00-0035228,K.Murray,down,2_down,203,0.13146676,0.05182106,2.458930253982544,1.3182400465011597,0.5418719,0.07751849
00-0035228,K.Murray,down,1_down,232,0.23051423,0.13836926,2.6129257678985596,1.5981149673461914,0.5215517,0.041329652
00-0035228,K.Murray,down,3rd_medium,64,0.0005498864,0.0006519266,1.4775620698928833,-0.22789549827575684,0.40625,-0.02203077
00-0035228,K.Murray,down,3rd_long,40,-0.49075803,-0.38840196,-2.588656187057495,-3.2932519912719727,0.175,-0.13127615
00-0035228,K.Murray,down,4th_down,10,-0.32762673,-0.33350176,-2.7300074100494385,-4.3271565437316895,0.5,0.03688523
00-0035228,K.Murray,down,3rd_short,21,0.39013362,0.54783773,5.131970405578613,6.709689617156982,0.71428573,0.21378016
00-0035228,K.Murray,field,midfield,445,0.10541846,0.06517548,1.7723623514175415,0.8231222033500671,0.51011235,0.053287834
00-0035228,K.Murray,field,goal_line,17,0.1897146,0.26299006,0.9718847274780273,0.16239124536514282,0.5294118,0.10146418
00-0035228,K.Murray,field,red_zone,37,0.32586798,0.26741746,13.803695678710938,11.3777437210083,0.45945945,0.05544609
00-0035228,K.Murray,field,inside_10,21,-0.31999278,-0.31435463,-3.029120922088623,-3.781635046005249,0.33333334,-0.031595558
00-0035228,K.Murray,field,own_territory,50,0.20029673,0.12257033,-2.4350085258483887,-2.5656185150146484,0.48,0.023899645
00-0035228,K.Murray,script,close_game,328,0.025234934,-0.022038393,-0.5094366073608398,-1.6887452602386475,0.46036586,0.009158909
00-0035228,K.Murray,script,leading_small,39,0.55307835,0.40694755,15.522700309753418,11.902400016784668,0.64102566,0.16222593
00-0035228,K.Murray,script,leading_big,27,0.31844217,0.16712561,7.048747539520264,8.511555671691895,0.5925926,0.13191843
00-0035228,K.Murray,script,trailing_small,130,0.051478006,0.023582723,2.766796350479126,1.396266222000122,0.5153846,0.060743988
00-0035228,K.Murray,script,trailing_big,46,0.44241884,0.53886354,4.304994583129883,6.007984161376953,0.54347825,0.13861099
00-0035228,K.Murray,time,normal,358,0.17052142,0.12586674,3.46231746673584,1.8774555921554565,0.51675975,0.06058088
00-0035228,K.Murray,time,4th_quarter,152,0.056878995,0.045748644,0.46909311413764954,0.416206419467926,0.4868421,0.050636113
00-0035228,K.Murray,time,two_minute,56,-0.021499101,-0.091210395,2.1048240661621094,3.012448310852051,0.44642857,0.013721615
00-0035228,K.Murray,depth,short,444,0.17482096,0.044063807,2.146233081817627,0.8070529699325562,0.5405405,0.04276067
00-0035228,K.Murray,depth,deep,96,0.39832845,0.013883084,1.9922724962234497,2.6019320487976074,0.45833334,0.042057008
00-0035228,K.Murray,air_depth,behind_los,105,0.0974596,0.21780354,-2.5454044342041016,-0.8516416549682617,0.4857143,0.11741799
00-0035228,K.Murray,air_depth,short,306,0.02690626,0.13205487,6.837347030639648,4.076915740966797,0.5163399,0.058369696
00-0035228,K.Murray,air_depth,medium,104,0.4013154,-0.0090149045,-3.019014358520508,-2.8820183277130127,0.5192308,-0.028574884
00-0035228,K.Murray,air_depth,deep,55,0.096092574,-0.2549837,-2.5304033756256104,-1.9740046262741089,0.38181818,0.028159648
00-0035228,K.Murray,pressure,clean_pocket,441,0.2987826,0.05094056,3.565538167953491,1.3047089576721191,0.5578231,0.03785467
00-0035228,K.Murray,pressure,under_pressure,129,-0.5137571,-0.073813945,-5.1038618087768555,-1.7037105560302734,0.29457363,0.009213001
00-0035228,K.Murray,play_action,standard_dropback,570,0.11489204,0.07535204,2.1178643703460693,1.1421427726745605,0.49824563,0.049330294
00-0034857,J.Allen,down,1_down,204,0.09596612,0.003821157,-2.122710704803467,-3.137521505355835,0.4509804,-0.029241681
00-0034857,J.Allen,down,2_down,213,0.3392277,0.259582,5.425174713134766,4.284484386444092,0.54460096,0.08024755
00-0034857,J.Allen,down,3rd_long,71,0.38988325,0.49223933,1.9991408586502075,1.2945449352264404,0.3943662,0.08809006
00-0034857,J.Allen,down,3rd_medium,53,0.39144915,0.3915512,5.815709114074707,4.110251426696777,0.4716981,0.043417335
00-0034857,J.Allen,down,4th_down,11,2.0291736,2.0232985,11.75473690032959,10.157588005065918,0.72727275,0.26415798
00-0034857,J.Allen,down,3rd_short,31,-0.38587213,-0.228168,-6.243359565734863,-4.665640354156494,0.4516129,-0.048892677
00-0034857,J.Allen,field,midfield,455,0.26100767,0.2207647,1.3617823123931885,0.4125421643257141,0.4857143,0.028889775
00-0034857,J.Allen,field,red_zone,45,0.23784141,0.1793909,3.7972655296325684,1.3713133335113525,0.4888889,0.084875524
00-0034857,J.Allen,field,inside_10,28,-0.34261554,-0.3369774,-17.72842788696289,-18.480941772460938,0.21428572,-0.15064318
00-0034857,J.Allen,field,own_territory,41,0.48731405,0.40958765,10.890779495239258,10.76016902923584,0.63414633,0.17804599
00-0034857,J.Allen,field,goal_line,17,0.7018237,0.77509916,26.905662536621094,26.096168518066406,0.5882353,0.16028771
00-0034857,J.Allen,script,close_game,400,0.17108059,0.12380727,1.152778148651123,-0.02653050422668457,0.48,0.028793037
00-0034857,J.Allen,script,trailing_small,52,0.35828832,0.33039305,2.8899409770965576,1.5194108486175537,0.5192308,0.064590156
00-0034857,J.Allen,script,leading_small,69,0.4595309,0.3134001,6.214878559112549,2.594578266143799,0.5507246,0.071924895
00-0034857,J.Allen,script,leading_big,37,0.65174764,0.50043106,9.116631507873535,10.579439163208008,0.5405405,0.07986635
00-0034857,J.Allen,script,trailing_big,28,0.31762388,0.41406858,-8.108454704284668,-6.405465126037598,0.2857143,-0.11915296
00-0034857,J.Allen,time,normal,384,0.26207402,0.21741934,3.940934419631958,2.356072425842285,0.49739584,0.04121697
00-0034857,J.Allen,time,two_minute,78,0.24811885,0.17840755,-0.7955352663993835,0.11208897829055786,0.46153846,0.028831512
00-0034857,J.Allen,time,4th_quarter,124,0.25636527,0.24523492,-2.0773355960845947,-2.1302223205566406,0.46774194,0.031535953
00-0034857,J.Allen,depth,short,432,0.2269282,0.09617105,2.3593225479125977,1.0201424360275269,0.5277778,0.029997945
00-0034857,J.Allen,depth,deep,132,0.62810147,0.2436561,0.867684006690979,1.4773435592651367,0.4090909,-0.0071854293
00-0034857,J.Allen,air_depth,medium,101,0.4698265,0.059496194,-3.542933940887451,-3.405937910079956,0.4950495,-0.05275616
00-0034857,J.Allen,air_depth,short,272,0.17824367,0.28339228,4.847347736358643,2.08691668510437,0.54044116,0.08247095
00-0034857,J.Allen,air_depth,behind_los,123,-0.005389109,0.11495483,-0.38280847668647766,1.3109543323516846,0.4390244,0.07072809
00-0034857,J.Allen,air_depth,deep,90,0.6278566,0.27678034,3.3197481632232666,3.8761467933654785,0.37777779,0.024119258
00-0034857,J.Allen,pressure,clean_pocket,426,0.38122216,0.13338013,3.4298646450042725,1.1690354347229004,0.556338,0.036369562
00-0034857,J.Allen,pressure,under_pressure,160,-0.066385254,0.37355793,-2.918109178543091,0.4820420742034912,0.3,0.014639378
00-0034857,J.Allen,play_action,standard_dropback,586,0.25900853,0.21946853,2.008676290512085,1.0329546928405762,0.48634812,0.03743279
00-0034796,L.Jackson,down,2_down,182,0.5111511,0.43150538,11.497138023376465,10.35644817352295,0.5989011,0.13454768
00-0034796,L.Jackson,down,3rd_long,77,0.15650275,0.25885883,1.326314091682434,0.621718168258667,0.35064936,0.044373214
00-0034796,L.Jackson,down,1_down,212,0.2780694,0.18592444,0.25625312328338623,-0.7585576772689819,0.5,0.019777924
00-0034796,L.Jackson,down,3rd_medium,52,0.45834512,0.45844716,8.439383506774902,6.733925819396973,0.5576923,0.12941152
00-0034796,L.Jackson,down,3rd_short,10,1.3772507,1.5349548,17.845197677612305,19.422916412353516,0.8,0.29949445
00-0034796,L.Jackson,field,midfield,410,0.2903855,0.25014254,2.6741433143615723,1.7249031066894531,0.51707315,0.060248643
00-0034796,L.Jackson,field,own_territory,52,0.39111933,0.31339294,6.006760120391846,5.876150131225586,0.5,0.043899655
00-0034796,L.Jackson,field,red_zone,42,0.8066009,0.7481504,26.590057373046875,24.164104461669922,0.54761904,0.14360568
00-0034796,L.Jackson,field,inside_10,24,0.37436423,0.38000238,2.291118621826172,1.538604497909546,0.45833334,0.09340444
00-0034796,L.Jackson,field,goal_line,16,0.3043455,0.37762094,21.06802749633789,20.258533477783203,0.5,0.07205239
00-0034796,L.Jackson,script,close_game,367,0.25445178,0.20717846,4.854121685028076,3.6748130321502686,0.5013624,0.05015543
00-0034796,L.Jackson,script,trailing_small,71,0.5776073,0.549712,10.056384086608887,8.685853958129883,0.5492958,0.094655156
00-0034796,L.Jackson,script,leading_small,71,0.54578334,0.39965254,4.312061309814453,0.6917610168457031,0.5633803,0.08458057
00-0034796,L.Jackson,script,leading_big,35,0.39952078,0.24820423,-1.3189096450805664,0.14389824867248535,0.4857143,0.02504012
00-0034796,L.Jackson,time,normal,333,0.26218888,0.2175342,4.699253082275391,3.114391326904297,0.4894895,0.033310622
00-0034796,L.Jackson,time,two_minute,75,0.53269804,0.46298674,3.0910520553588867,3.998676300048828,0.6,0.16729307
00-0034796,L.Jackson,time,4th_quarter,134,0.43625256,0.4251222,7.629967212677002,7.577080726623535,0.5298507,0.09364474
00-0034796,L.Jackson,depth,short,401,0.39384457,0.26308742,5.424370765686035,4.085190773010254,0.57107234,0.073292494
00-0034796,L.Jackson,depth,deep,113,0.7386016,0.35415626,3.8943748474121094,4.504034519195557,0.45132744,0.035051107
00-0034796,L.Jackson,air_depth,behind_los,94,-0.014758565,0.105585374,-3.101778745651245,-1.4080159664154053,0.43617022,0.067873925
00-0034796,L.Jackson,air_depth,short,249,0.092558734,0.19770736,5.364864826202393,2.60443377494812,0.51004016,0.052069962
