passer_player_id,player_name,attempts,qb_epa_vs_avg,situations_tracked
00-0033873,P.Mahomes,5636,0.05483737,26
00-0036442,J.Burrow,5556,0.10162916,29
00-0039163,C.Stroud,5169,-0.059117325,27
00-0039910,J.Daniels,5118,0.19269693,28
00-0034869,S.Darnold,5076,-0.07832359,28
00-0039918,C.Williams,5008,-0.04096298,29
00-0034855,B.Mayfield,4992,0.17553996,27
00-0023459,A.Rodgers,4970,-0.08458121,28
00-0030565,G.Smith,4950,-0.008392429,25
00-0026498,M.Stafford,4941,-0.011478572,27
00-0039732,B.Nix,4888,0.051467042,28
00-0033106,J.Goff,4820,0.31933698,28
00-0034857,J.Allen,4663,0.296936,28
00-0036355,J.Herbert,4597,0.022807296,28
00-0035228,K.Murray,4526,0.06470522,28
00-0034796,L.Jackson,4309,0.3875798,26
00-0036389,J.Hurts,3971,0.10848473,28
00-0037834,B.Purdy,3817,0.10285738,27
00-0036264,J.Love,3787,0.0521573,27
00-0029604,K.Cousins,3783,0.0012657885,26
00-0036212,T.Tagovailoa,3334,0.18800132,28
00-0039150,B.Young,3263,-0.1175757,26
00-0029263,R.Wilson,3153,0.017793557,25
00-0039851,D.Maye,2950,-0.105787836,27
00-0035710,D.Jones,2929,-0.19827779,27
00-0039152,W.Levis,2691,-0.18569666,25
00-0035289,G.Minshew,2628,-0.2555616,25
00-0031503,J.Winston,2544,-0.110884644,23
00-0033662,C.Rush,2533,-0.11278504,25
00-0033077,D.Prescott,2411,-0.15738462,24
00-0036971,T.Lawrence,2394,-0.047088467,25
00-0031280,D.Carr,2291,0.17382741,24
00-0036972,M.Jones,2171,-0.06722465,22
00-0039164,A.Richardson,2169,-0.2745288,23
00-0026158,J.Flacco,2086,0.005381187,24
00-0038579,A.O'Connell,1990,-0.0322517,23
00-0033537,D.Watson,1950,-0.2957879,24
00-0039376,S.Rattler,1944,-0.3425029,21
00-0034771,M.Rudolph,1861,-0.061177455,23
00-0035704,D.Lock,1508,-0.26661548,23
00-0033119,J.Brissett,1395,-0.3353021,23
00-0036945,J.Fields,1378,0.045840185,23
00-0027973,A.Dalton,1306,-0.11130884,23
00-0035993,T.Huntley,1129,-0.25887012,20
00-0038583,D.Thompson-Robinson,975,-0.68373275,20
00-0039917,M.Penix,844,0.111914076,20
00-0038122,D.Ridder,703,-0.42851016,18
00-0038128,M.Willis,459,0.22330621,17
00-0034177,T.Boyle,355,-0.24523018,14
00-0038476,T.DeVito,351,-0.19953273,13
00-0038400,T.McKee,323,0.27174726,12
00-0033949,J.Dobbs,323,0.08160987,12
00-0032268,M.Mariota,310,0.35635483,12
00-0038102,K.Pickett,309,-0.101614244,12
00-0031345,J.Garoppolo,306,0.13698526,13
00-0037012,T.Lance,288,-0.20094389,11
00-0038998,J.Haener,287,-0.26272395,11
00-0037327,S.Thompson,262,-0.32104737,13
00-0036898,D.Mills,241,-0.1977266,12
00-0032434,B.Allen,197,-0.35109597,10
00-0038108,B.Zappe,188,-0.46918234,9
00-0039398,J.Milton,183,0.4106523,9
00-0028118,T.Taylor,150,0.43906608,8
00-0033869,M.Trubisky,147,0.26472428,8
00-0032950,C.Wentz,137,-0.30652106,8
